P1,P2,Pi,C1,C2,Ci
9099,8915,52,4004,8915,53
9099,9433,52,4004,9433,53
9099,1278,52,4004,1278,53
9099,8927,52,4004,8927,53
9152,9433,53,727,9433,54
9152,9492,53,727,9492,54
9152,8915,53,727,8915,54
9152,8927,53,727,8927,54
9152,8972,53,727,8972,54
2186,9960,54,6658,9960,55
2186,9953,54,6658,9953,55
2186,1278,54,6658,1278,55
2186,9433,54,6658,9433,55
2186,8936,54,6658,8936,55
9152,1256,55,9152,3411,56
2616,1256,55,2616,3411,56
9152,8973,56,9152,2852,57
9167,8973,56,9167,2852,57
468,9953,57,468,9498,58
9117,9953,57,9117,9498,58
9167,9953,57,9167,9498,58
9152,9953,57,9152,9498,58
4004,9953,57,4004,9498,58
9150,9953,57,9150,9498,58
9152,9925,58,9152,6973,59
6663,8927,59,6663,7855,60
6663,9433,60,2179,9433,61
6663,8927,60,2179,8927,61
6663,8915,60,2179,8915,61
9117,9960,61,9117,2559,62
8804,9960,61,8804,2559,62
6663,8927,62,8874,8927,63
6663,8915,62,8874,8915,63
6663,9433,62,8874,9433,63
9150,1278,63,5441,1278,64
9152,1256,64,9152,480,65
9152,8995,65,8273,8995,66
2186,9433,66,750,9433,67
2186,8915,66,750,8915,67
9152,8973,67,9152,3461,68
9152,8981,68,6606,8981,69
9152,8973,68,6606,8973,69
9152,1239,68,6606,1239,69
9152,9440,68,6606,9440,69
9152,8936,68,6606,8936,69
9152,7954,68,6606,7954,69
9152,9498,68,6606,9498,69
9152,9925,68,6606,9925,69
9152,120,68,6606,120,69
9152,1278,68,6606,1278,69
9152,5059,68,6606,5059,69
9152,8972,68,6606,8972,69
9152,8995,68,6606,8995,69
9152,9953,68,6606,9953,69
9650,1259,69,3983,1259,70
9650,8915,69,3983,8915,70
9152,8972,70,6639,8972,71
9152,120,70,6639,120,71
9152,8995,70,6639,8995,71
9152,5059,70,6639,5059,71
9152,2852,70,6639,2852,71
9152,1239,70,6639,1239,71
9152,9925,70,6639,9925,71
9152,8973,70,6639,8973,71
9152,9953,70,6639,9953,71
6658,9960,71,788,9960,72
