P1,P2,C1,C2
9152,3411,9269,3411
2186,8981,2186,1216
9167,8981,9167,1216
4004,8981,4004,1216
9650,8981,9650,1216
8804,8981,8804,1216
468,8981,468,1216
6663,8981,6663,1216
9117,8981,9117,1216
9099,8981,9099,1216
8068,8981,8068,1216
9512,8981,9512,1216
9150,8981,9150,1216
6606,8981,6606,1216
9152,8981,9152,1216
4031,8981,4031,1216
9152,8972,2045,8972
9152,9953,2045,9953
9152,9925,2045,9925
9650,8915,9650,43
9167,8915,9167,43
2186,5059,6616,5059
2186,9960,6616,9960
2186,1278,6616,1278
2186,8936,6616,8936
2186,9433,6616,9433
9152,8972,1312,8972
9152,8973,1312,8973
9152,1239,1312,1239
9152,9292,8173,9292
9152,8915,8173,8915
6663,7855,4098,7855
6663,8927,4098,8927
6663,9433,4098,9433
6663,1278,4098,1278
6663,8915,4098,8915
6663,8972,6663,5983
9152,8972,9152,5983
9167,8972,9167,5983
9152,3461,9152,8153
9152,1256,59,1256
6663,8915,9116,8915
6663,8927,9116,8927
6663,5983,9116,5983
